date,frequency,Sentiment,count,Avg_per
22/01/2020,68,negative,14493,0.297759167
23/01/2020,1,negative,99275,0.496622657
24/01/2020,1,negative,233430,0.421974544
25/01/2020,6,negative,376001,0.442638944
26/01/2020,6,negative,489539,0.429383953
27/01/2020,3,negative,451737,0.517503257
28/01/2020,1,negative,323282,0.422022087
29/01/2020,3,negative,611369,0.496639764
30/01/2020,3,negative,695855,0.448169853
31/01/2020,4,negative,641326,0.459571179
01/02/2020,1,negative,232297,0.49189356
02/02/2020,5,negative,240679,0.471060447
03/02/2020,3,negative,213258,0.431878316
04/02/2020,2,negative,247566,0.444608224
05/02/2020,7,negative,208970,0.41081541
06/02/2020,2,negative,250610,0.458741197
07/02/2020,4,negative,229263,0.436663837
08/02/2020,1,negative,227907,0.441097402
09/02/2020,1,negative,237402,0.468869847
10/02/2020,1,negative,252091,0.437204107
11/02/2020,2,negative,265597,0.450489276
12/02/2020,2,negative,265132,0.484838367
13/02/2020,4,negative,279354,0.460180428
14/02/2020,1,negative,237906,0.413073073
15/02/2020,1,negative,195450,0.433805116
16/02/2020,2,negative,183989,0.376583258
17/02/2020,9,negative,221875,0.419426592
18/02/2020,4,negative,255794,0.455163066
19/02/2020,1,negative,240426,0.47611852
20/02/2020,9,negative,226431,0.433692162
21/02/2020,4,negative,247143,0.46702386
22/02/2020,7,negative,201977,0.46619683
23/02/2020,9,negative,37344,0.4905567
24/02/2020,6,negative,179492,0.443651411
25/02/2020,5,negative,225189,0.467523208
26/02/2020,9,negative,246548,0.45874619
27/02/2020,2,negative,323744,0.477868236
28/02/2020,3,negative,683442,0.480092792
29/02/2020,7,negative,1552649,0.505401594
01/03/2020,10,negative,1079866,0.478823424
02/03/2020,9,negative,257533,0.45282092
03/03/2020,7,negative,1150953,0.477321131
04/03/2020,2,negative,1170227,0.446436138
05/03/2020,3,negative,321755,0.441727163
06/03/2020,13,negative,357364,0.463092059
07/03/2020,13,negative,394389,0.509875616
08/03/2020,16,negative,364863,0.490156155
09/03/2020,10,negative,357599,0.472684514
10/03/2020,8,negative,341765,0.470203164
11/03/2020,6,negative,327084,0.448216889
12/03/2020,3,negative,322441,0.438690287
13/03/2020,13,negative,309781,0.455552031
14/03/2020,12,negative,310743,0.455523478
15/03/2020,11,negative,280025,0.433869519
16/03/2020,11,negative,254148,0.405730577
17/03/2020,10,negative,576972,0.403662375
18/03/2020,1,negative,420011,0.435243081
19/03/2020,12,negative,754476,0.461250845
20/03/2020,14,negative,735432,0.442166859
21/03/2020,29,negative,657147,0.438951927
22/03/2020,11,negative,761859,0.447978156
23/03/2020,13,negative,792262,0.453637609
24/03/2020,25,negative,230022,0.416173653
25/03/2020,1,negative,288356,0.393821224
26/03/2020,5,negative,770442,0.432476184
27/03/2020,10,negative,636935,0.40870876
28/03/2020,12,negative,729384,0.420494617
29/03/2020,11,negative,770852,0.44280333
30/03/2020,14,negative,552804,0.440430015
31/03/2020,7,negative,255609,0.418264289
01/04/2020,5,negative,533857,0.4453649
02/04/2020,6,negative,773537,0.460280369
03/04/2020,16,negative,705078,0.436333237
04/04/2020,12,negative,789978,0.458034969
05/04/2020,12,negative,784071,0.452513216
06/04/2020,11,negative,792203,0.447993783
07/04/2020,9,negative,771585,0.42177942
08/04/2020,2,negative,567745,0.433000438
09/04/2020,5,negative,503204,0.419677632
10/04/2020,9,negative,810174,0.453490388
11/04/2020,5,negative,815616,0.483416064
12/04/2020,7,negative,793817,0.488129693
13/04/2020,4,negative,766401,0.453417706
14/04/2020,3,negative,777905,0.445513836
15/04/2020,2,negative,840507,0.472878973
16/04/2020,9,negative,790607,0.444776878
17/04/2020,5,negative,766758,0.447854727
