date,frequency,Sentiment,count,Sentiment_pos,count_pos,Avg_per
22/01/2020,68,negative,14493,Positive,1779,0.297759167
23/01/2020,1,negative,99275,Positive,7367,0.496622657
24/01/2020,1,negative,233430,Positive,29652,0.421974544
25/01/2020,6,negative,376001,Positive,34265,0.442638944
26/01/2020,6,negative,489539,Positive,31525,0.429383953
27/01/2020,3,negative,451737,Positive,25199,0.517503257
28/01/2020,1,negative,323282,Positive,38621,0.422022087
29/01/2020,3,negative,611369,Positive,55809,0.496639764
30/01/2020,3,negative,695855,Positive,87863,0.448169853
31/01/2020,4,negative,641326,Positive,79468,0.459571179
01/02/2020,1,negative,232297,Positive,32381,0.49189356
02/02/2020,5,negative,240679,Positive,30816,0.471060447
03/02/2020,3,negative,213258,Positive,40125,0.431878316
04/02/2020,2,negative,247566,Positive,38926,0.444608224
05/02/2020,7,negative,208970,Positive,57546,0.41081541
06/02/2020,2,negative,250610,Positive,37426,0.458741197
07/02/2020,4,negative,229263,Positive,36644,0.436663837
08/02/2020,1,negative,227907,Positive,28605,0.441097402
09/02/2020,1,negative,237402,Positive,34696,0.468869847
10/02/2020,1,negative,252091,Positive,36933,0.437204107
11/02/2020,2,negative,265597,Positive,35732,0.450489276
12/02/2020,2,negative,265132,Positive,29933,0.484838367
13/02/2020,4,negative,279354,Positive,34886,0.460180428
14/02/2020,1,negative,237906,Positive,42630,0.413073073
15/02/2020,1,negative,195450,Positive,34077,0.433805116
16/02/2020,2,negative,183989,Positive,28558,0.376583258
17/02/2020,9,negative,221875,Positive,36403,0.419426592
18/02/2020,4,negative,255794,Positive,37461,0.455163066
19/02/2020,1,negative,240426,Positive,36651,0.47611852
20/02/2020,9,negative,226431,Positive,46114,0.433692162
21/02/2020,4,negative,247143,Positive,32103,0.46702386
22/02/2020,7,negative,201977,Positive,24620,0.46619683
23/02/2020,9,negative,37344,Positive,3131,0.4905567
24/02/2020,6,negative,179492,Positive,29894,0.443651411
25/02/2020,5,negative,225189,Positive,25411,0.467523208
26/02/2020,9,negative,246548,Positive,36828,0.45874619
27/02/2020,2,negative,323744,Positive,38060,0.477868236
28/02/2020,3,negative,683442,Positive,85570,0.480092792
29/02/2020,7,negative,1552649,Positive,186589,0.505401594
01/03/2020,10,negative,1079866,Positive,139380,0.478823424
02/03/2020,9,negative,257533,Positive,56736,0.45282092
03/03/2020,7,negative,1150953,Positive,166550,0.477321131
04/03/2020,2,negative,1170227,Positive,180967,0.446436138
05/03/2020,3,negative,321755,Positive,54860,0.441727163
06/03/2020,13,negative,357364,Positive,65106,0.463092059
07/03/2020,13,negative,394389,Positive,58691,0.509875616
08/03/2020,16,negative,364863,Positive,57205,0.490156155
09/03/2020,10,negative,357599,Positive,54956,0.472684514
10/03/2020,8,negative,341765,Positive,52935,0.470203164
11/03/2020,6,negative,327084,Positive,55194,0.448216889
12/03/2020,3,negative,322441,Positive,57886,0.438690287
13/03/2020,13,negative,309781,Positive,50904,0.455552031
14/03/2020,12,negative,310743,Positive,58287,0.455523478
15/03/2020,11,negative,280025,Positive,62347,0.433869519
16/03/2020,11,negative,254148,Positive,61901,0.405730577
17/03/2020,10,negative,576972,Positive,119588,0.403662375
18/03/2020,1,negative,420011,Positive,79093,0.435243081
19/03/2020,12,negative,754476,Positive,147820,0.461250845
20/03/2020,14,negative,735432,Positive,145708,0.442166859
21/03/2020,29,negative,657147,Positive,147177,0.438951927
22/03/2020,11,negative,761859,Positive,159768,0.447978156
23/03/2020,13,negative,792262,Positive,154096,0.453637609
24/03/2020,25,negative,230022,Positive,59905,0.416173653
25/03/2020,1,negative,288356,Positive,82139,0.393821224
26/03/2020,5,negative,770442,Positive,164222,0.432476184
27/03/2020,10,negative,636935,Positive,168503,0.40870876
28/03/2020,12,negative,729384,Positive,181405,0.420494617
29/03/2020,11,negative,770852,Positive,165763,0.44280333
30/03/2020,14,negative,552804,Positive,111465,0.440430015
31/03/2020,7,negative,255609,Positive,69065,0.418264289
01/04/2020,5,negative,533857,Positive,99590,0.4453649
02/04/2020,6,negative,773537,Positive,133029,0.460280369
03/04/2020,16,negative,705078,Positive,146956,0.436333237
04/04/2020,12,negative,789978,Positive,169359,0.458034969
05/04/2020,12,negative,784071,Positive,175835,0.452513216
06/04/2020,11,negative,792203,Positive,165782,0.447993783
07/04/2020,9,negative,771585,Positive,169907,0.42177942
08/04/2020,2,negative,567745,Positive,123767,0.433000438
09/04/2020,5,negative,503204,Positive,112042,0.419677632
10/04/2020,9,negative,810174,Positive,169338,0.453490388
11/04/2020,5,negative,815616,Positive,156513,0.483416064
12/04/2020,7,negative,793817,Positive,156765,0.488129693
13/04/2020,4,negative,766401,Positive,144962,0.453417706
14/04/2020,3,negative,777905,Positive,147794,0.445513836
15/04/2020,2,negative,840507,Positive,139577,0.472878973
16/04/2020,9,negative,790607,Positive,158784,0.444776878
17/04/2020,5,negative,766758,Positive,139740,0.447854727
18/04/2020,11,negative,599945,Positive,147939,0.409684149
19/04/2020,14,negative,843780,Positive,154989,0.46922179
20/04/2020,9,negative,824903,Positive,141486,0.459401395
21/04/2020,2,negative,217165,Positive,64995,0.412373771
22/04/2020,2,negative,788259,Positive,155783,0.449854841
23/04/2020,6,negative,800717,Positive,162116,0.427106201
24/04/2020,3,negative,843035,Positive,205650,0.403251102
25/04/2020,10,negative,1080125,Positive,182142,0.453288949
26/04/2020,10,negative,1127152,Positive,173997,0.478205728
27/04/2020,14,negative,1075196,Positive,195564,0.444920273
28/04/2020,1,negative,808979,Positive,135317,0.447450095
